species,age_group,temperature,ph,oxygen,stocking_density,water_source,recent_deaths,death_rate,loss_of_appetite,lethargy,erratic_swimming,isolation,surface_swimming,gasping_for_air,skin_lesions,ulcers,fin_rot,scale_loss,body_swelling,discoloration,eye_cloudiness,excess_mucus,gill_discoloration,rapid_gill_movement,white_spots,fungal_growth,bloody_patches,disease
catfish,juvenile,18.19783707070488,6.799596736862062,5.542783534415615,38,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,juvenile,24.033763126855458,8.457786155607778,4.140429423803056,22,tank,0,16,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,fungal_infection
trout,adult,23.92106805366076,9.357025401919671,6.022723416565968,25,cage,0,10,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,poor_water_quality
nile_perch,fingerling,27.00406921213862,8.196382473107882,2.978888336727178,5,tank,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,fungal_infection
nile_perch,juvenile,23.009889331427036,7.869714187901803,4.4529133334722095,29,pond,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,fungal_infection
tilapia,adult,24.387128677550198,6.263815697194694,3.772680828300685,31,pond,1,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,bacterial_infection
catfish,adult,27.688932303685178,7.664317042434048,7.732627982147344,16,tank,1,16,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,fungal_infection
tilapia,juvenile,23.6624606679024,9.365191081859397,5.0597805990284686,8,tank,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,parasite_infection
tilapia,juvenile,18.299224351204465,8.893980990502458,2.2671188149266097,26,tank,1,15,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,low_oxygen_stress
tilapia,adult,25.11710507500517,6.459773591248597,3.12545471366146,37,tank,1,16,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,parasite_infection
nile_perch,juvenile,25.65828067711963,8.44121876548234,6.696212935696285,8,tank,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,healthy
catfish,adult,28.323966773291712,5.611959788876567,2.884613797760216,24,tank,1,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,parasite_infection
trout,fingerling,32.9768987377299,9.065467106416323,6.0926938871414755,5,cage,0,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,parasite_infection
nile_perch,adult,29.34270500447636,9.435194978680423,3.5210309137218214,41,pond,0,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,low_oxygen_stress
nile_perch,fingerling,28.34349602468653,7.3837188503278695,7.968508895010674,7,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,fingerling,26.407556903318998,7.52422572586583,5.350118594406683,18,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,fingerling,26.9374647967264,7.060092227110992,6.401814353039076,7,cage,0,6,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,parasite_infection
catfish,juvenile,25.24645343018118,6.740077021104714,2.848842902688932,32,cage,1,13,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,fungal_infection
nile_perch,fingerling,22.550652004168054,7.983059334854508,6.055251141747024,13,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,healthy
tilapia,adult,24.705565936573542,8.43178490448023,5.6872072823355095,42,pond,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,healthy
nile_perch,juvenile,25.01295734991627,8.893387064195279,6.892586627825416,10,tank,0,18,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,parasite_infection
catfish,fingerling,29.87517499850739,7.714717505464053,2.385273199564183,20,pond,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,low_oxygen_stress
catfish,adult,26.960895480432576,7.119283542991628,3.5456158661949364,34,cage,0,6,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,low_oxygen_stress
tilapia,adult,33.704503219116305,8.481862409553699,2.663488710023918,44,pond,1,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,low_oxygen_stress
tilapia,adult,26.825788713275983,7.938769367371579,6.608519125340357,13,cage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,healthy
tilapia,adult,25.781091336246103,6.279685674453457,6.224804420491994,35,pond,1,13,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,parasite_infection
catfish,fingerling,24.602206441202437,5.94044887455288,2.64989467691235,26,cage,1,9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,bacterial_infection
trout,fingerling,25.03246502210659,5.617318418210981,6.273964265806591,27,cage,1,19,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,bacterial_infection
trout,adult,25.613645456681,6.408783268064936,6.615912890853795,44,pond,1,11,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,parasite_infection
trout,adult,27.846077132300625,7.979040108693433,7.244233655773705,21,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
trout,fingerling,24.345319726600795,6.225152577782581,2.5535037771725433,26,cage,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,parasite_infection
trout,adult,25.12912086800116,6.547045098558689,6.33899802024397,39,tank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,juvenile,27.693868140801385,7.562310128688187,5.475394232374099,8,cage,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,fungal_infection
trout,adult,25.253659601270858,6.889546931209762,2.5868257699881836,20,tank,1,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,parasite_infection
tilapia,fingerling,30.0335976242598,6.741267105999196,2.3603322906847217,6,cage,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,parasite_infection
nile_perch,fingerling,28.721775074489717,7.339057347813775,2.5878199618859643,34,pond,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,fungal_infection
tilapia,fingerling,28.026313826789632,7.2105042522778895,7.444396342690337,7,pond,1,8,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
nile_perch,adult,25.829344211653893,6.830148979374045,5.763721413707424,7,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,fingerling,25.451737030971366,6.175185319680219,4.1465274629661195,37,cage,1,5,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,parasite_infection
nile_perch,adult,24.586143528722502,9.433980822405932,7.886177215501962,24,cage,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,poor_water_quality
nile_perch,adult,30.459472127712793,7.466673923258417,5.505638862853097,10,tank,1,16,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,parasite_infection
tilapia,fingerling,28.08724031842098,7.831837357340809,6.696458776728093,25,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,adult,30.067007461377578,7.586088638917804,7.98466482865234,34,pond,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,healthy
nile_perch,adult,26.42877249608576,7.543946167996118,7.785322298910328,26,pond,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,fingerling,26.987784939251235,5.9664697002640175,2.646654008807011,13,tank,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,low_oxygen_stress
catfish,adult,24.054411351206667,8.503235285326456,7.2561169888907076,21,tank,1,18,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,bacterial_infection
trout,juvenile,21.785509762349943,7.562803498501427,6.6484871645630506,32,pond,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,adult,28.50093410865734,8.350707112219123,2.4839531138720634,10,tank,1,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,low_oxygen_stress
trout,juvenile,32.06944984369604,7.634920587342329,2.153909897271695,49,tank,1,11,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,low_oxygen_stress
trout,juvenile,26.07072418995988,7.929500656385832,7.186926323907558,16,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,healthy
nile_perch,adult,27.968220093124817,9.741066285249284,6.09079260968692,43,cage,0,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,poor_water_quality
nile_perch,fingerling,27.9652093272574,9.315087769715543,5.077350122233814,46,pond,1,11,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,bacterial_infection
trout,adult,28.301645490268996,9.16540706346565,5.5407379361781715,48,tank,1,14,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
trout,juvenile,23.14965901520238,9.690305161895502,7.577141771209987,46,pond,0,16,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,poor_water_quality
nile_perch,adult,28.025198578247267,6.697768737010071,5.0732079621481665,33,cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,fingerling,27.139410231574736,8.455235741174764,6.752846061226009,19,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,adult,33.10422520750881,7.409316697338323,6.787917583790034,33,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,adult,25.9479155413117,7.937541857605568,7.897687696854565,42,cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,fingerling,27.39840653227956,8.234361492437934,7.063353065645238,30,tank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,fingerling,27.375093780333142,7.286035807470668,6.946569210606983,17,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,juvenile,32.49181090558327,7.423757811240587,7.446646766117944,7,pond,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,adult,27.197743247939307,7.909926233856905,3.254163839332772,25,pond,1,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,bacterial_infection
trout,juvenile,22.650865720124617,5.473836854908146,7.378871550612518,22,tank,1,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,poor_water_quality
tilapia,adult,27.17768026234349,9.240867893792066,2.9608548644294843,16,pond,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,fungal_infection
nile_perch,fingerling,34.94675452984103,8.144466637684046,6.944006618236774,14,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,fingerling,29.836721646196025,9.039430607088526,4.259294696206672,11,tank,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor_water_quality
tilapia,adult,22.437894353378184,8.637842134497724,4.638752927854954,42,tank,1,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,parasite_infection
trout,adult,27.749268081471126,7.194618701994569,5.7623545561043645,46,cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,juvenile,28.70052950610936,7.677633056643512,6.023059192879067,38,tank,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,fingerling,20.762478829787327,7.029847506351235,2.9718957194710702,36,cage,1,15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,low_oxygen_stress
tilapia,adult,30.187375610646278,7.708808375292929,2.582715183200408,21,tank,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,fungal_infection
nile_perch,adult,28.64983423848293,8.12503383395041,5.8405797959205366,38,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,adult,33.398470181916366,9.276383449485973,7.582919224071409,34,tank,1,5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,bacterial_infection
nile_perch,fingerling,29.80608924804619,6.049010694017097,5.084319880947886,21,cage,0,19,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,fungal_infection
trout,juvenile,27.006314163667483,7.153176366771412,3.2836701378953386,45,pond,1,16,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
nile_perch,fingerling,29.597719934508355,6.102102895361517,4.043837396079486,17,pond,1,15,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,fungal_infection
catfish,adult,24.279672114936332,8.548163095780662,3.7256304789914143,20,tank,0,10,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,parasite_infection
trout,fingerling,26.564647698842663,8.14738468144995,5.8487796996502155,39,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,adult,26.484470978290133,9.586961288977246,7.078412305910519,34,pond,1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,poor_water_quality
nile_perch,juvenile,24.36414486020488,8.633704285614144,4.498647399269298,32,pond,1,19,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,bacterial_infection
catfish,fingerling,24.221168790941054,9.442017412442143,5.555913977017974,20,tank,0,7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,parasite_infection
catfish,juvenile,34.54579264816357,6.391736078570139,4.4096660003972445,14,pond,1,15,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,bacterial_infection
catfish,fingerling,26.17950860567409,6.536643113952804,5.72845067378036,35,cage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,healthy
tilapia,adult,29.17494403853993,8.083524709136114,7.559625266972292,43,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,adult,26.875831725251196,4.652872110145484,4.310462045805333,45,pond,1,19,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,poor_water_quality
trout,fingerling,31.127767228233637,8.970783410248998,5.498613101593241,19,tank,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,parasite_infection
catfish,juvenile,27.158015426453854,7.28972900825596,7.618657508449735,36,pond,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,adult,31.054587700457045,7.917505944646507,2.015301558944901,31,cage,0,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,parasite_infection
trout,juvenile,28.477851700638897,5.319758964842332,3.964635729050922,33,cage,0,5,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,poor_water_quality
catfish,fingerling,25.030749317967043,7.505596349737351,5.334857090471867,29,tank,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,healthy
catfish,fingerling,29.884410527770765,7.8517871916895885,2.7308521417734783,23,tank,0,11,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,low_oxygen_stress
catfish,fingerling,30.835145822351567,6.695010215479682,1.9380953612922993,37,pond,1,14,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,low_oxygen_stress
catfish,juvenile,26.954674397568176,9.405882680427592,6.058656526511056,19,pond,1,17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,poor_water_quality
tilapia,fingerling,23.58771599798589,7.894051694602522,6.59632564524091,27,tank,0,5,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,parasite_infection
trout,adult,29.141897807124344,6.984177976978689,2.8356299227793405,27,cage,1,6,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,low_oxygen_stress
tilapia,fingerling,28.391570324603684,7.505295236173999,5.260219149823676,6,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,healthy
trout,juvenile,33.95242184383187,9.365223599700709,6.9359758466890264,29,tank,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,poor_water_quality
nile_perch,fingerling,34.40602196439612,6.954155333121019,2.411615037430553,31,tank,0,11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,parasite_infection
nile_perch,fingerling,27.165499458457827,6.871466777894871,6.472614120073165,48,cage,1,10,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,bacterial_infection
catfish,fingerling,22.013919756831392,7.721230287837161,5.683656131128645,19,cage,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,healthy
catfish,fingerling,28.798933332941903,8.611426877182739,2.1320856091093403,9,tank,1,16,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
tilapia,fingerling,26.075372879590805,7.855350268776729,5.7402965199418965,33,tank,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,fingerling,25.13983560753866,5.736322941333077,3.5863832571891816,25,cage,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,poor_water_quality
trout,fingerling,25.10994627874321,5.3696534771339355,2.9788576897409964,46,cage,1,11,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,poor_water_quality
trout,fingerling,24.399539611996616,7.584819372893898,7.349010928585782,47,pond,1,11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
nile_perch,juvenile,27.331678252696207,7.120798126537234,6.902044941144974,38,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
trout,adult,28.547080711035758,6.340867579892835,7.570958175528588,34,cage,0,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,parasite_infection
nile_perch,fingerling,26.571748646210384,6.711370120052862,7.057130527781991,23,cage,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,healthy
tilapia,adult,28.502063602393218,7.3151772557174946,6.885832706979975,33,tank,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,fungal_infection
catfish,adult,26.214542664457753,9.01497133672628,3.028292227786127,9,pond,1,18,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,poor_water_quality
catfish,adult,30.46437757766885,8.49608165844509,5.784391404116778,24,tank,1,9,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
nile_perch,adult,27.341315015828037,7.215986908795303,6.0392519276837096,19,tank,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,healthy
nile_perch,juvenile,30.33546883962151,8.313612580174947,6.680343492814041,21,cage,1,18,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,parasite_infection
trout,juvenile,27.06197690601229,8.99636537820864,3.817058394032877,35,cage,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,parasite_infection
tilapia,fingerling,30.88731519934081,7.664531049505566,2.82373081202662,37,cage,0,10,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,low_oxygen_stress
tilapia,juvenile,29.137196901365364,7.786348570457989,4.066318620714469,39,pond,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,parasite_infection
nile_perch,fingerling,29.21600513795383,5.706571626209303,4.32219257174854,32,pond,1,12,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
trout,juvenile,24.060559010024022,6.946793728771077,7.511171253882491,21,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,juvenile,28.76356891180883,7.476765746568876,7.519409730377138,44,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,juvenile,23.655081010501824,6.833518738532028,7.598737686914331,8,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,adult,28.49480020271614,7.47476355443189,3.0153300594126473,10,cage,1,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,low_oxygen_stress
nile_perch,juvenile,24.026290482773497,4.673354343153812,3.8569256212722793,46,cage,0,18,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,poor_water_quality
nile_perch,adult,28.83206090207317,9.54992265515742,2.943128080711512,18,pond,1,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor_water_quality
tilapia,adult,23.626402496507865,8.080423748367984,5.368461991286132,38,tank,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,healthy
trout,fingerling,24.084391403818127,5.9069267080742645,5.8076973476504525,12,tank,1,15,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,poor_water_quality
nile_perch,juvenile,26.457197876168305,8.355819778622488,6.114067990554604,43,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
nile_perch,adult,26.839726580158146,7.5030045939511965,4.373860715405001,9,tank,1,4,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,fungal_infection
tilapia,juvenile,23.372209613353835,6.669258784859249,6.031695174512251,8,cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,healthy
trout,fingerling,27.707970006127297,6.998086490932306,5.056304902083462,48,cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,adult,28.946986447097956,8.490982292541492,5.98433721412155,35,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
trout,adult,24.72147903330956,7.024341143339452,2.600021223504818,49,tank,0,10,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,parasite_infection
